Station Name,Duration
Jurong East,29 mins
Bukit Batok,40 mins
Bukit Gombak,41 mins
Choa Chu Kang,46 mins
Yew Tee,45 mins
Kranji,51 mins
Marsiling,48 mins
Woodlands,46 mins
Admiralty,42 mins
Sembawang,41 mins
Canberra,38 mins
Yishun,35 mins
Khatib,33 mins
Yio Chu Kang,26 mins
Ang Mo Kio,26 mins
Bishan,23 mins
Braddell,21 mins
Toa Payoh,21 mins
Novena,18 mins
Newton,14 mins
Orchard,14 mins
Somerset,12 mins
Dhoby Ghaut,11 mins
City Hall,0 mins
Raffles Place,8 mins
Marina Bay,10 mins
Marina South Pier,12 mins
Pasir Ris,32 mins
Tampines,29 mins
Simei,30 mins
Tanah Merah,26 mins
Bedok,24 mins
Kembangan,22 mins
Eunos,20 mins
Paya Lebar,20 mins
Aljunied,17 mins
Kallang,15 mins
Lavender,11 mins
Bugis,11 mins
Tanjong Pagar,13 mins
Outram Park,17 mins
Tiong Bahru,16 mins
Redhill,18 mins
Queenstown,21 mins
Commonwealth,23 mins
Buona Vista,24 mins
Dover,26 mins
Clementi,28 mins
Chinese Garden,35 mins
Lakeside,37 mins
Boon Lay,39 mins
Pioneer,42 mins
Joo Koon,45 mins
Gul Circle,46 mins
Tuas Crescent,47 mins
Tuas West Road,48 mins
Tuas Link,50 mins
Expo,32 mins
Changi Airport,40 mins
HarbourFront,22 mins
Chinatown,20 mins
Clarke Quay,11 mins
Little India,22 mins
Farrer Park,23 mins
Boon Keng,24 mins
Potong Pasir,27 mins
Woodleigh,28 mins
Serangoon,34 mins
Kovan,33 mins
Hougang,34 mins
Buangkok,33 mins
Sengkang,35 mins
Punggol,38 mins
Bras Basah,7 mins
Esplanade,5 mins
Promenade,16 mins
Nicoll Highway,17 mins
Stadium,25 mins
Mountbatten,25 mins
Dakota,24 mins
MacPherson,27 mins
Tai Seng,30 mins
Bartley,32 mins
Lorong Chuan,37 mins
Marymount,35 mins
Caldecott,32 mins
Botanic Gardens,28 mins
Farrer Road,37 mins
Holland Village,36 mins
one-north,35 mins
Kent Ridge,37 mins
Haw Par Villa,39 mins
Pasir Panjang,36 mins
Labrador Park,40 mins
Telok Blangah,30 mins
Bayfront,23 mins
Bukit Panjang,40 mins
Cashew,38 mins
Hillview,36 mins
Beauty World,32 mins
King Albert Park,34 mins
Sixth Avenue,31 mins
Tan Kah Kee,30 mins
Stevens,26 mins
Rochor,18 mins
Downtown,15 mins
Telok Ayer,13 mins
Fort Canning,15 mins
Bencoolen,11 mins
Jalan Besar,18 mins
Bendemeer,22 mins
Geylang Bahru,23 mins
Mattar,28 mins
Ubi,31 mins
Kaki Bukit,33 mins
Bedok North,34 mins
Bedok Reservoir,37 mins
Tampines West,41 mins
Tampines East,40 mins
Upper Changi,43 mins
Woodlands North,59 mins
Woodlands South,60 mins
